package,version,package@version,exploitable,confirmed
buildme,1.0.1,buildme@1.0.1,True,True
git-fstat,1.0.0,git-fstat@1.0.0,False,False
surfboard,0.1.0,surfboard@0.1.0,True,True
cross-npm-spawn,1.1.1,cross-npm-spawn@1.1.1,True,False
@cli-dev-test/utils,1.0.21,@cli-dev-test/utils@1.0.21,True,False
file-encrypter,1.1.0,file-encrypter@1.1.0,True,True
eas,0.1.0,eas@0.1.0,True,False
url-capture,0.0.3,url-capture@0.0.3,True,True
i-template,0.0.4,i-template@0.0.4,True,False
tf-command,0.0.2,tf-command@0.0.2,False,False
@scarafone/ispawn,0.0.2,@scarafone/ispawn@0.0.2,True,False
@atroche/named-pipe,1.0.1,@atroche/named-pipe@1.0.1,False,False
p7zip-threetwo,1.0.4,p7zip-threetwo@1.0.4,False,False
@seanc/node-plantuml,0.6.2,@seanc/node-plantuml@0.6.2,False,False
@kwsites/exec-p,0.4.0,@kwsites/exec-p@0.4.0,True,False
webpinfog,1.0.1,webpinfog@1.0.1,True,False
shinobi-worker,0.0.16,shinobi-worker@0.0.16,True,False
pi-gpioutil,0.0.3,pi-gpioutil@0.0.3,False,False
libutil,0.0.4,libutil@0.0.4,True,False
@omnislug/jp,0.0.1,@omnislug/jp@0.0.1,True,True
@monyone/arib-subtitle-emsg-id3,0.0.1,@monyone/arib-subtitle-emsg-id3@0.0.1,False,False
hemera-testsuite,4.1.0,hemera-testsuite@4.1.0,False,False
rpi-wifi-connection,1.0.17,rpi-wifi-connection@1.0.17,True,True
node-vbox,0.1.7,node-vbox@0.1.7,True,True
pactl,1.0.0,pactl@1.0.0,True,True
@koeroesi86/node-worker,23.3.4335417774-master,@koeroesi86/node-worker@23.3.4335417774-master,True,False
@starerp-cli-dev/utils,1.0.15,@starerp-cli-dev/utils@1.0.15,True,False
regift,0.4.7,regift@0.4.7,True,False
node-build-util,0.2.0,node-build-util@0.2.0,True,False
demonize,2.0.0,demonize@2.0.0,False,False
procinfo,0.1.4,procinfo@0.1.4,True,False
cellular-lint,2.0.1,cellular-lint@2.0.1,False,False
git-ls-files,1.1.0,git-ls-files@1.1.0,False,False
mpv-controller,1.3.3,mpv-controller@1.3.3,False,False
require-cjs-string,1.0.0,require-cjs-string@1.0.0,True,True
pdc,0.2.3,pdc@0.2.3,True,False
hornbill-utils,0.0.1,hornbill-utils@0.0.1,True,True
tpll,1.0.3,tpll@1.0.3,True,False
@bb-cli/lib-test-helpers,1.0.4,@bb-cli/lib-test-helpers@1.0.4,True,False
smart-release,1.3.0,smart-release@1.3.0,True,False
mini-tpl,1.1.1,mini-tpl@1.1.1,True,False
node_spreadsheet,1.0.0,node_spreadsheet@1.0.0,True,True
@cxl/program,0.0.3,@cxl/program@0.0.3,True,True
pytest-coderoad,0.2.0,pytest-coderoad@0.2.0,True,True
@beagle-cli/spawn,1.0.7,@beagle-cli/spawn@1.0.7,True,False
@rabbotio/daemon,1.1.0,@rabbotio/daemon@1.1.0,False,False
zippy-js,2.1.1,zippy-js@2.1.1,False,False
defract,2.1.0,defract@2.1.0,True,False
mikesappshop-node-rtsp-stream,0.0.6,mikesappshop-node-rtsp-stream@0.0.6,False,False
serverless-whitesource,19.11.1,serverless-whitesource@19.11.1,False,False
nodeshell,0.0.5,nodeshell@0.0.5,True,False
exec-limiter,3.2.13,exec-limiter@3.2.13,True,False
@alekseyleshko/git-diff,0.2.0,@alekseyleshko/git-diff@0.2.0,True,False
@neuroglia/string-formatter,0.0.1,@neuroglia/string-formatter@0.0.1,True,False
runforest,0.2.0,runforest@0.2.0,True,False
process-limits,1.0.0,process-limits@1.0.0,True,True
wasdk-utils,1.0.3,wasdk-utils@1.0.3,False,False
wechat-logger,0.0.2,wechat-logger@0.0.2,True,False
docker-compose-nocompose,0.23.7,docker-compose-nocompose@0.23.7,False,False
craydent.universaltrim,0.13.5,craydent.universaltrim@0.13.5,False,False
nitriq-npm,0.0.4,nitriq-npm@0.0.4,True,False
@essc-cli/utils,0.0.23,@essc-cli/utils@0.0.23,True,False
climate-data-operators,0.1.0,climate-data-operators@0.1.0,False,False
git-bash,1.0.0,git-bash@1.0.0,True,True
classicjs,1.1.3,classicjs@1.1.3,False,False
noreman,0.0.0,noreman@0.0.0,True,False
dictatorship,0.1.1,dictatorship@0.1.1,True,True
danger-plugin-yarn,1.3.1,danger-plugin-yarn@1.3.1,True,False
@seermedical/danger-plugin-yarn,1.3.2,@seermedical/danger-plugin-yarn@1.3.2,True,False
@sudoo/shell,1.0.0,@sudoo/shell@1.0.0,True,True
byggare-bob,1.2.0,byggare-bob@1.2.0,True,True
gry,5.0.8,gry@5.0.8,True,False
@allow-cli-dev/utils,1.1.0,@allow-cli-dev/utils@1.1.0,True,False
xinput,0.5.0,xinput@0.5.0,False,False
flvmeta,0.1.1,flvmeta@0.1.1,False,False
iptables2,0.2.0,iptables2@0.2.0,False,False
curljs,0.1.2,curljs@0.1.2,True,False
@scottishcyclops/node-audio,1.0.0,@scottishcyclops/node-audio@1.0.0,False,False
cgcf,1.1.2,cgcf@1.1.2,False,False
@jiepaw/dump-helper,0.0.1-rc-2,@jiepaw/dump-helper@0.0.1-rc-2,True,False
lambda-video,1.0.11,lambda-video@1.0.11,False,False
tinycurl,0.0.4,tinycurl@0.0.4,False,False
sketchjs,0.1.0,sketchjs@0.1.0,True,False
@dabh/signcode,1.0.1,@dabh/signcode@1.0.1,False,False
windows-ip-config,1.1.0,windows-ip-config@1.1.0,True,True
@iaigz/stream-io,1.6.3,@iaigz/stream-io@1.6.3,True,False
morgan-json,1.1.0,morgan-json@1.1.0,True,False
nodemonitor,0.0.1,nodemonitor@0.0.1,True,True
product-recommender,1.3.2,product-recommender@1.3.2,False,False
mt7688-wiscan,0.8.2,mt7688-wiscan@0.8.2,True,True
@lego-cli/utils,1.1.0,@lego-cli/utils@1.1.0,True,False
ffmpeg-sdk,0.0.5,ffmpeg-sdk@0.0.5,True,True
amoebictemplating,0.0.5,amoebictemplating@0.0.5,True,False
get-installed-apps,1.1.0,get-installed-apps@1.1.0,True,True
pandoc-aws-lambda-binary,1.1.1,pandoc-aws-lambda-binary@1.1.1,False,False
@hmrc/node-git-versioning,0.1.0,@hmrc/node-git-versioning@0.1.0,True,True
jst,0.0.13,jst@0.0.13,True,False
apkreader,1.0.7,apkreader@1.0.7,True,True
nitro-template,0.2.13,nitro-template@0.2.13,True,False
smash-shell,0.0.1,smash-shell@0.0.1,True,True
flex-exec,1.0.0,flex-exec@1.0.0,True,False
node-version-match,0.5.2,node-version-match@0.5.2,False,False
ae-pdc,0.1.0,ae-pdc@0.1.0,True,False
simple-shell-utils,1.0.0,simple-shell-utils@1.0.0,True,False
du-multi,0.0.1,du-multi@0.0.1,True,True
generator-uppercode,0.1.2,generator-uppercode@0.1.2,True,True
sketchjs_with_sketchtool3.4,0.1.3,sketchjs_with_sketchtool3.4@0.1.3,False,False
node-jsfl,1.0.3,node-jsfl@1.0.3,False,False
expand-template-literal,1.0.3,expand-template-literal@1.0.3,False,False
@xykj-cli-dev/utils,2.0.11,@xykj-cli-dev/utils@2.0.11,True,False
@databases/with-container,2.1.1,@databases/with-container@2.1.1,False,False
dimas-parallel,1.1.3,dimas-parallel@1.1.3,True,True
jayce,0.1.2,jayce@0.1.2,True,False
@hhs-cli-dev/utils,1.0.3,@hhs-cli-dev/utils@1.0.3,True,False
image-to-zpl,1.0.1,image-to-zpl@1.0.1,False,False
is-command,2.0.2,is-command@2.0.2,False,False
@ignhycord/copy-clip,1.1.2,@ignhycord/copy-clip@1.1.2,False,False
wmicmon,0.1.7,wmicmon@0.1.7,False,False
inotifywait,1.8.3,inotifywait@1.8.3,True,False
ejs-dynamic,1.0.0,ejs-dynamic@1.0.0,True,False
command-handler,1.0.0,command-handler@1.0.0,True,False
@sealsystems/determine-executable-version,1.3.5,@sealsystems/determine-executable-version@1.3.5,True,False
killports,1.0.3,killports@1.0.3,True,True
node-openssl-p12,0.1.8,node-openssl-p12@0.1.8,False,False
node-run-cmd,1.0.1,node-run-cmd@1.0.1,True,False
node-bird-routedump,0.0.5,node-bird-routedump@0.0.5,True,True
node-git-utils,1.6.0,node-git-utils@1.6.0,True,False
windows-cmd,1.0.1,windows-cmd@1.0.1,True,True
projector-spawn,1.0.1,projector-spawn@1.0.1,True,False
git-rev-2,0.1.0,git-rev-2@0.1.0,False,False
@kuku-cli/utils,1.2.0,@kuku-cli/utils@1.2.0,True,False
json-better,0.0.1,json-better@0.0.1,True,True
pseudoexec,0.2.0,pseudoexec@0.2.0,True,False
@ky-cli/utils,1.5.4,@ky-cli/utils@1.5.4,True,False
@sps-vue-cli/utils,1.0.7,@sps-vue-cli/utils@1.0.7,True,False
rainbowdash,1.0.0,rainbowdash@1.0.0,False,False
netdiscover-node,1.0.5,netdiscover-node@1.0.5,False,False
@pspdfkit-labs/spawnd,5.0.0,@pspdfkit-labs/spawnd@5.0.0,True,False
passwd,0.0.11,passwd@0.0.11,False,False
populater,0.5.1,populater@0.5.1,False,False
ngitflow-qa,1.0.28-snapshot.3,ngitflow-qa@1.0.28-snapshot.3,False,False
post-checkout-npm-install,0.1.0,post-checkout-npm-install@0.1.0,True,True
loggit-npm,1.5.0,loggit-npm@1.5.0,True,True
@highpoint/java-sass-compiler,1.0.1,@highpoint/java-sass-compiler@1.0.1,True,False
@funlo-cli/utils,1.0.1,@funlo-cli/utils@1.0.1,True,False
java_process,0.1.0-9,java_process@0.1.0-9,False,False
tp-helper,0.0.4,tp-helper@0.0.4,False,False
mapeo-entity-filter,2.0.0,mapeo-entity-filter@2.0.0,False,False
@pizza-programming-party/shell,1.1.20,@pizza-programming-party/shell@1.1.20,True,True
@solargis/firewall-manager,1.0.4,@solargis/firewall-manager@1.0.4,False,False
craydent.ltrim,0.11.2,craydent.ltrim@0.11.2,False,False
g-template,0.0.2,g-template@0.0.2,True,False
@carnesen/child_process,0.0.1,@carnesen/child_process@0.0.1,True,True
soundcontrol,0.1.4,soundcontrol@0.1.4,True,False
@harshitpant/npm-run,5.0.2,@harshitpant/npm-run@5.0.2,True,False
node-tezzeract,0.0.1,node-tezzeract@0.0.1,True,True
gep,3.0.0,gep@3.0.0,True,True
mac-keychain,1.0.0,mac-keychain@1.0.0,False,False
microlauncher,1.0.2,microlauncher@1.0.2,False,False
itself,0.1.0,itself@0.1.0,True,False
skipjacks,0.0.8,skipjacks@0.0.8,True,False
jdbase,0.1.1,jdbase@0.1.1,False,False
@happy-cli-dev/utils,1.0.6,@happy-cli-dev/utils@1.0.6,True,False
pdftk-formfill,0.0.1,pdftk-formfill@0.0.1,False,False
@colorssk-cli/util,0.0.1,@colorssk-cli/util@0.0.1,True,False
child_promise,0.0.1,child_promise@0.0.1,False,False
lvm-node,0.0.4,lvm-node@0.0.4,False,False
node-command-line,1.0.2,node-command-line@1.0.2,True,True
@tangula/core,1.0.0,@tangula/core@1.0.0,True,True
appc-compat,1.0.3,appc-compat@1.0.3,True,False
@croqaz/bin-duck,0.3.0,@croqaz/bin-duck@0.3.0,False,False
atlas-git-identity,1.0.4,atlas-git-identity@1.0.4,True,False
node-record-lpcmat,1.0.0,node-record-lpcmat@1.0.0,False,False
sync-operation,0.0.2,sync-operation@0.0.2,False,False
aexec,1.0.3,aexec@1.0.3,True,True
thrift-hack,0.9.31,thrift-hack@0.9.31,True,False
@shipping-cli/utils,1.0.8,@shipping-cli/utils@1.0.8,True,False
spec-js,1.0.0,spec-js@1.0.0,False,False
killport,1.0.1,killport@1.0.1,True,True
avs,3.1.0,avs@3.1.0,False,False
@garygrossgarten/cli,0.2.0,@garygrossgarten/cli@0.2.0,True,True
ner-server,2.0.2,ner-server@2.0.2,False,False
pyyaml,0.0.1,pyyaml@0.0.1,True,True
@imooc-cli-dev-oy/utils,1.0.16,@imooc-cli-dev-oy/utils@1.0.16,True,False
bistro,0.1.0,bistro@0.1.0,True,False
command-execution-await,1.0.0,command-execution-await@1.0.0,True,True
hot,0.0.7,hot@0.0.7,True,False
tiny-template-engine,1.0.1,tiny-template-engine@1.0.1,True,True
rekcod,3.0.0,rekcod@3.0.0,False,False
exwx,1.0.0,exwx@1.0.0,True,False
@pangujs/child-process,1.1.0,@pangujs/child-process@1.1.0,True,False
zabbix_sender,0.0.3,zabbix_sender@0.0.3,True,True
win-eject,1.0.2,win-eject@1.0.2,True,True
@qddmaxpro/utils,1.0.2,@qddmaxpro/utils@1.0.2,True,False
npm-time-lord,0.0.2,npm-time-lord@0.0.2,False,False
sybase-charset-tz,1.3.0,sybase-charset-tz@1.3.0,False,False
mocoolka-tools-io,0.1.18,mocoolka-tools-io@0.1.18,True,False
avprober,0.1.0,avprober@0.1.0,False,False
ffmpeg-media,1.1.1,ffmpeg-media@1.1.1,False,False
@pig-cli/utils,1.0.13,@pig-cli/utils@1.0.13,True,False
glsfiles,1.0.13,glsfiles@1.0.13,True,True
@expo/turtle-spawn,1.0.37,@expo/turtle-spawn@1.0.37,True,False
swipegraph-transcoder,0.2.0,swipegraph-transcoder@0.2.0,True,True
promisify-bash,1.0.9,promisify-bash@1.0.9,True,True
jstx,0.1.2,jstx@0.1.2,True,False
@neft/compiler-binding,1.0.0-alpha.0,@neft/compiler-binding@1.0.0-alpha.0,True,True
@jordbaer/sync,1.3.0,@jordbaer/sync@1.3.0,True,False
lid-sleep-daemon,2.0.1,lid-sleep-daemon@2.0.1,True,True
laytpl,2.0.0,laytpl@2.0.0,True,False
@segment/mysql-query-validator,1.1.0,@segment/mysql-query-validator@1.1.0,False,False
git-er-done,0.1.7,git-er-done@0.1.7,False,False
geek-codescan,0.1.8,geek-codescan@0.1.8,True,True
call-bash,1.23.0,call-bash@1.23.0,True,False
omx-interface,1.2.2,omx-interface@1.2.2,True,True
@ijianglu/utils,1.0.3,@ijianglu/utils@1.0.3,True,False
signtool,1.0.0,signtool@1.0.0,False,False
pg-formatter,1.3.0,pg-formatter@1.3.0,True,False
@zya-test/demo,1.0.0,@zya-test/demo@1.0.0,True,True
baqidiaokuzhuai,1.0.0,baqidiaokuzhuai@1.0.0,True,True
@wwei-cli/utils,2.0.1,@wwei-cli/utils@2.0.1,True,False
macos-open-file-dialog,1.0.1,macos-open-file-dialog@1.0.1,True,False
@amphibian/linter,1.1.2,@amphibian/linter@1.1.2,False,False
hdmi-cec,0.2.8,hdmi-cec@0.2.8,False,False
bruck,1.0.0,bruck@1.0.0,True,True
json2-mod,1.0.8,json2-mod@1.0.8,False,False
swagger-router,0.7.4,swagger-router@0.7.4,False,False
dockermachine,0.0.8,dockermachine@0.0.8,True,True
@elephant-cli-dev/utils,0.0.14,@elephant-cli-dev/utils@0.0.14,True,False
tower-recipe,0.1.0,tower-recipe@0.1.0,False,False
